,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_grid_0_AutoML_20181101_191116_model_25,1.408339177497282,1.1867346702179395,1.408339177497282,0.5366115319904252,
4,StackedEnsemble_BestOfFamily_0_AutoML_20181101_191116,1.5989973047153536,1.2645146518389392,1.5989973047153536,0.5608555111614789,
16,XRT_0_AutoML_20181101_191116,1.9855830228214462,1.4091071722269553,1.9855830228214462,0.5960291749499236,
21,DRF_0_AutoML_20181101_191116,2.0778858518323493,1.441487374843203,2.0778858518323493,0.6059037340830076,
51,GLM_grid_0_AutoML_20181101_191116_model_0,2.769779184870826,1.6642653589108998,2.769779184870826,0.7218970699964827,
61,DeepLearning_0_AutoML_20181101_191116,3.1165751222812004,1.7653824294699436,3.1165751222812004,0.8528452324591046,
