,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 20:10:39, 1.775 sec,0.0,,,,,,
1,,2018-11-01 20:10:40, 1.803 sec,1.0,3.399727455212791,2.791666666963207,11.558146769727639,3.17194339332273,2.541195857322822,10.061224890443714
2,,2018-11-01 20:10:40, 1.828 sec,2.0,3.1321625034440492,2.5543230944254836,9.810441947980893,2.8084203335479594,2.2988935964929182,7.887224769885631
3,,2018-11-01 20:10:40, 1.860 sec,3.0,3.0753964937738365,2.5265529161612634,9.458063593916407,2.687559889178136,2.251522284218596,7.222978157919193
4,,2018-11-01 20:10:40, 1.884 sec,4.0,3.038551036867862,2.4836665749451914,9.232792403650759,2.6203806271865817,2.2345770544419854,6.866394631334743
5,,2018-11-01 20:10:40, 1.918 sec,5.0,2.914297414050749,2.3797567667460466,8.493129417542884,2.5929413882402104,2.214121153933854,6.723345042849069
6,,2018-11-01 20:10:40, 1.944 sec,6.0,2.8984228880625893,2.3774125627138094,8.40085523804508,2.5527432356630957,2.1741185385853106,6.516498027223691
7,,2018-11-01 20:10:40, 1.973 sec,7.0,2.8460684780004213,2.3322875076021794,8.100105781467635,2.5089250447867686,2.141375212249879,6.294704880358288
8,,2018-11-01 20:10:40, 2.004 sec,8.0,2.807636164028898,2.312184063731551,7.882820829562904,2.4620863563060342,2.0964238067804755,6.061869225908325
9,,2018-11-01 20:10:40, 2.028 sec,9.0,2.728754394480662,2.2525266567086013,7.446100545397524,2.43793895556544,2.0683528627154963,5.943546351063508
10,,2018-11-01 20:10:40, 2.050 sec,10.0,2.6755931866299036,2.2164528186820363,7.158798900340362,2.4195622840606266,2.0610938476303877,5.854281646448677
11,,2018-11-01 20:10:40, 2.074 sec,11.0,2.644705105199465,2.196197403634079,6.994465093468112,2.423434654281148,2.0701777659505836,5.8730355235707865
12,,2018-11-01 20:10:40, 2.094 sec,12.0,2.6294248134687406,2.188783095518935,6.913874849685121,2.4185802863587336,2.062030497664786,5.849530601563094
