,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 20:10:36, 2.772 sec,0.0,,,,,,
1,,2018-11-01 20:10:37, 2.911 sec,1.0,3.330843430486053,2.659735349716446,11.094517958412098,3.1213679458063486,2.477401129943503,9.742937853107344
2,,2018-11-01 20:10:37, 3.020 sec,2.0,3.179231739094691,2.55606936416185,10.107514450867052,2.819048402973082,2.3177966101694913,7.947033898305085
3,,2018-11-01 20:10:37, 3.062 sec,3.0,3.060503903937926,2.4837223998069167,9.366684146019287,2.692703767042019,2.2585754641480813,7.250653577042281
4,,2018-11-01 20:10:37, 3.090 sec,4.0,2.9648314950960053,2.4144481423161657,8.790225794313214,2.537644723061997,2.1425797013239674,6.439640740484401
5,,2018-11-01 20:10:37, 3.111 sec,5.0,2.9278393349231786,2.39485107580207,8.5722431711234,2.542983116876555,2.1468321226410945,6.4667631327191994
6,,2018-11-01 20:10:37, 3.130 sec,6.0,2.857552960197459,2.350470409119629,8.165608920333261,2.5146137669545205,2.132717917643473,6.323282396957205
7,,2018-11-01 20:10:37, 3.151 sec,7.0,2.7913693062746243,2.2936704217738555,7.791742604012077,2.4823019621004256,2.089833391011002,6.161823031047622
8,,2018-11-01 20:10:37, 3.172 sec,8.0,2.729326144105282,2.251062895468758,7.449221200896605,2.4762484696956886,2.0980083064339254,6.131806483670239
9,,2018-11-01 20:10:37, 3.196 sec,9.0,2.668755368173005,2.2033040269320114,7.12225521515223,2.4767814008879014,2.1034399007598483,6.1344461077842345
10,,2018-11-01 20:10:37, 3.226 sec,10.0,2.6654767152130123,2.2089799560586227,7.1047661193427505,2.46672317988097,2.1102333870647993,6.084723246162086
11,,2018-11-01 20:10:37, 3.250 sec,11.0,2.6378602537019185,2.1911885111933858,6.958306718060349,2.450657238000114,2.091908797430392,6.005720898162346
12,,2018-11-01 20:10:37, 3.271 sec,12.0,2.624481875604213,2.1890426541310863,6.887905115375008,2.433029089945107,2.08307270649575,5.919630552519114
13,,2018-11-01 20:10:37, 3.291 sec,13.0,2.5930114400421727,2.165645988742942,6.7237083281895815,2.4204524381520938,2.079083110989824,5.858590005356414
