,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GLM_grid_0_AutoML_20181101_204840_model_0,0.2498960485884638,0.4998960377803207,0.2498960485884638,0.4995885107892386,0.35142460675975384
1,GBM_grid_0_AutoML_20181101_204840_model_6,0.2499819956178231,0.4999819952936536,0.2499819956178231,0.4998838910322477,0.35147378313256816
2,StackedEnsemble_BestOfFamily_0_AutoML_20181101_204840,0.25002774581812764,0.5000277450483399,0.25002774581812764,0.4999238976338054,0.3515275660481321
9,DeepLearning_0_AutoML_20181101_204840,0.259189873131728,0.5091069368332433,0.259189873131728,0.4959197348813074,0.3579876601653703
13,XRT_0_AutoML_20181101_204840,0.26890007719562725,0.5185557609318666,0.26890007719562725,0.4923101769718102,0.36189312599526136
16,DRF_0_AutoML_20181101_204840,0.27471693913935485,0.5241344666584662,0.27471693913935485,0.4958926028704641,0.36525714543847176
