,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 20:48:43, 2.331 sec,0.0,,,,,,
1,,2018-11-01 20:48:43, 2.387 sec,1.0,0.7014922582614173,0.492091388400703,0.492091388400703,0.7297793527380173,0.5325779036827195,0.5325779036827195
2,,2018-11-01 20:48:43, 2.450 sec,2.0,0.6786315928779746,0.48730684326710816,0.4605408388520971,0.6120832397242019,0.5084985835694051,0.37464589235127477
3,,2018-11-01 20:48:43, 2.514 sec,3.0,0.6621080456174585,0.4961982968369829,0.43838706407137057,0.5806121610734677,0.5051935788479698,0.33711048158640233
4,,2018-11-01 20:48:43, 2.575 sec,4.0,0.6486613391735561,0.4993268712977922,0.4207615329384311,0.5754047719284866,0.5141643059490085,0.33109065155807366
5,,2018-11-01 20:48:43, 2.640 sec,5.0,0.6283130362938651,0.4926853961022526,0.39477727157681597,0.5565983288842268,0.5065155807365439,0.3098016997167139
6,,2018-11-01 20:48:43, 2.698 sec,6.0,0.6184193567554688,0.49480077745383866,0.38244250080984776,0.5531265754767019,0.5089707271010386,0.3059490084985836
7,,2018-11-01 20:48:43, 2.754 sec,7.0,0.6018597809981616,0.4910170068027211,0.3622351959831551,0.5440634959151762,0.5058680696074465,0.2960050875874429
8,,2018-11-01 20:48:43, 2.779 sec,8.0,0.5928205230852776,0.49345070422535214,0.3514361725911021,0.537830536091442,0.5038951841359773,0.28926168555240794
9,,2018-11-01 20:48:43, 2.799 sec,9.0,0.5820721773676127,0.4921345611415297,0.33880801966547364,0.5313913863733948,0.5004721435316337,0.2823768055118386
10,,2018-11-01 20:48:43, 2.815 sec,10.0,0.5758094094567167,0.4950520661022069,0.3315564760188928,0.5269716189680449,0.4979225684664405,0.27769908719780234
11,,2018-11-01 20:48:43, 2.831 sec,11.0,0.5713021428720152,0.49773058620806926,0.3263861384501565,0.5273213701277695,0.4997853893089196,0.27806782739342806
