,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_0_AutoML_20181101_193138,5.2563144525662375,2.2926653599176303,5.2563144525662375,1.995882821604388,0.4934963047578136
2,GBM_grid_0_AutoML_20181101_193138_model_9,5.261485676239488,2.293792858180417,5.261485676239488,1.9952660952064385,0.4938544571146755
5,GLM_grid_0_AutoML_20181101_193138_model_0,5.265614648519532,2.294692713310331,5.265614648519532,1.9972394185098,0.4941137918811697
9,DeepLearning_0_AutoML_20181101_193138,5.4854900704626885,2.3421123095322924,5.4854900704626885,2.009816970931872,0.4967379828072024
18,DRF_0_AutoML_20181101_193138,5.940301776466585,2.4372734307965094,5.940301776466585,2.083914662125785,0.5144046445371744
19,XRT_0_AutoML_20181101_193138,5.9611361672445975,2.4415438081764163,5.9611361672445975,2.0788183145619543,0.5154825245295177
