,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 19:31:44, 1.922 sec,0.0,,,,,,
1,,2018-11-01 19:31:44, 1.967 sec,1.0,3.284835351944637,2.672461905048392,10.790143289385249,3.2560311984906622,2.6767534908283963,10.601739165544538
2,,2018-11-01 19:31:44, 1.989 sec,2.0,3.189104316712707,2.583480228969029,10.170386342875624,2.7883852282754824,2.3194799116823113,7.775092181264914
3,,2018-11-01 19:31:44, 2.011 sec,3.0,3.0561367519744174,2.458187510761106,9.339971846768742,2.6450928903333213,2.1846470320492646,6.996516398491885
4,,2018-11-01 19:31:44, 2.033 sec,4.0,3.031453018650885,2.4463941107679013,9.189707404287562,2.5599354316096044,2.1364679096287555,6.55326941401025
5,,2018-11-01 19:31:44, 2.053 sec,5.0,2.9776668185594297,2.404339813618433,8.866499682349835,2.56527649543349,2.132080354114597,6.580643498023529
6,,2018-11-01 19:31:44, 2.075 sec,6.0,2.9120704578617227,2.3620078972024308,8.480154351550985,2.5209831560511806,2.103083503659298,6.3553560730937715
7,,2018-11-01 19:31:44, 2.097 sec,7.0,2.8425178662195054,2.334797170238705,8.079907819777091,2.548543036988425,2.1425950921844708,6.495071611382185
8,,2018-11-01 19:31:44, 2.115 sec,8.0,2.7928223961499272,2.3002790837932934,7.799856936436621,2.534087361657604,2.1293470165535306,6.421598756512796
9,,2018-11-01 19:31:44, 2.135 sec,9.0,2.7473427843299896,2.274991116707738,7.547892374610059,2.5161299238629993,2.117897440208478,6.3309097937588215
10,,2018-11-01 19:31:44, 2.157 sec,10.0,2.71270624440261,2.247118385254128,7.358775168420912,2.4978015575063206,2.1012089901425863,6.239012620681001
11,,2018-11-01 19:31:45, 2.176 sec,11.0,2.6739545900206014,2.2206177039243498,7.150033149492243,2.502286522030417,2.109836739466066,6.2614378383350795
12,,2018-11-01 19:31:45, 2.201 sec,12.0,2.6291195660871782,2.194862430119679,6.912269692782432,2.4709037078068468,2.089077396088102,6.105365133253622
13,,2018-11-01 19:31:45, 2.223 sec,13.0,2.6129223115765243,2.1906258495814823,6.827363006334408,2.470661921355779,2.095657736526652,6.104170329637429
