,,timestamp,duration,training_speed,epochs,iterations,samples,training_rmse,training_deviance,training_mae,training_r2,validation_rmse,validation_deviance,validation_mae,validation_r2
0,,2018-11-01 19:31:56, 0.000 sec,,0.0,0,0.0,,,,,,,,
1,,2018-11-01 19:31:56, 1.005 sec,165444 obs/sec,1.0276052449965494,1,1489.0,2.343504193472094,5.492011904821291,2.009996676242906,-0.0451363900703623,2.3323912399432682,5.440048896164097,2.0080727427521996,-0.06296383642006242
2,,2018-11-01 19:31:57, 1.125 sec,152527 obs/sec,11.368530020703934,11,16473.0,2.229095406730259,4.9688663323059385,1.9133048100528207,0.05441883388317714,2.3213072862624697,5.388467517255232,1.9918059874897305,-0.05288504090565738
